Date,Open,High,Low,Close,Volume,Adj Close
2018-01-04,7556,7766,7543,7760,2003300,7760
2018-01-05,7800,7817,7714,7807,1165000,7807
2018-01-09,7807,7871,7754,7870,1378400,7870
2018-01-10,7837,7877,7802,7826,866700,7826
2018-01-11,7785,7786,7683,7713,1047400,7713
2018-01-12,7690,7726,7552,7580,1892900,7580
2018-01-15,7586,7619,7535,7572,1026900,7572
2018-01-16,7578,7645,7544,7633,693900,7633
2018-01-17,7613,7668,7575,7654,1099400,7654
2018-01-18,7793,7859,7701,7735,2134900,7735
2018-01-19,7702,7722,7600,7611,1293600,7611
2018-01-22,7581,7602,7546,7581,692400,7581
2018-01-23,7601,7657,7562,7638,1042900,7638
2018-01-24,7600,7627,7572,7576,1027600,7576
2018-01-25,7490,7540,7431,7432,1494500,7432
2018-01-26,7476,7490,7413,7426,1264400,7426
2018-01-29,7430,7504,7418,7444,962300,7444
2018-01-30,7375,7426,7296,7321,1199600,7321
2018-01-31,7238,7355,7232,7251,1573800,7251
2018-02-01,7384,7514,7346,7500,1548700,7500
2018-02-02,7200,7227,6987,7007,3149600,7007
2018-02-05,6880,6917,6733,6733,2576200,6733
2018-02-06,6440,6464,6185,6398,3846900,6398
2018-02-07,6498,6559,6289,6293,3636800,6293
2018-02-08,6253,6367,6231,6312,2525900,6312
2018-02-09,6000,6089,5953,6053,3957500,6053
2018-02-13,6230,6234,6062,6083,2495900,6083
2018-02-14,6001,6048,5863,5923,2459200,5923
2018-02-15,6008,6045,5968,5992,1854800,5992
2018-02-16,6192,6270,6137,6220,3206800,6220
2018-02-19,6220,6244,6140,6225,1570900,6225
2018-02-20,6216,6231,6150,6204,1228100,6204
2018-02-21,6210,6303,6202,6249,1674900,6249
2018-02-22,6173,6179,6121,6156,1573300,6156
2018-02-23,6117,6199,6110,6192,1218400,6192
2018-02-26,6275,6314,6244,6283,1214600,6283
2018-02-27,6373,6428,6326,6380,1848000,6380
2018-02-28,6400,6470,6352,6353,1940900,6353
2018-03-01,6315,6329,6188,6223,1574400,6223
2018-03-02,6030,6102,6006,6067,2064600,6067
2018-03-05,5959,5991,5880,5902,1694100,5902
2018-03-06,6028,6153,6021,6063,1621700,6063
2018-03-07,6021,6097,5984,6020,1640800,6020
2018-03-08,6103,6183,6088,6141,2043900,6141
2018-03-09,6224,6311,6144,6176,3201700,6176
2018-03-12,6363,6363,6183,6225,959700,6225
2018-03-13,6173,6243,6133,6212,1301500,6212
2018-03-14,6134,6214,6105,6134,1189300,6134
