Date,Open,High,Low,Close,Volume,Adj Close
2018-01-04,13650,13700,13570,13590,47140,13590
2018-01-05,13590,13680,13500,13650,13133,13650
2018-01-09,13790,13980,13760,13950,60768,13950
2018-01-10,14000,14150,13970,14110,62523,14110
2018-01-11,14120,14260,14030,14090,61303,14090
2018-01-12,14160,14260,14100,14130,34401,14130
2018-01-15,14270,14310,14060,14310,29404,14310
2018-01-16,14350,14390,14210,14310,33855,14310
2018-01-17,14300,14300,13960,14030,23583,14030
2018-01-18,14170,14180,14070,14100,18781,14100
2018-01-19,14070,14190,13930,14010,21245,14010
2018-01-22,14070,14400,14070,14380,22874,14380
2018-01-23,14420,14600,14410,14600,27856,14600
2018-01-24,14600,14850,14570,14730,39851,14730
2018-01-25,14680,14800,14620,14670,11821,14670
2018-01-26,14700,14850,14630,14850,12283,14850
2018-01-29,14850,14860,14450,14450,19668,14450
2018-01-30,14450,14580,14140,14350,25504,14350
2018-01-31,14240,14520,14160,14460,30509,14460
2018-02-01,14370,14600,14370,14600,5735,14600
2018-02-02,14550,14560,14260,14340,7363,14340
2018-02-05,13740,14080,13700,13960,11111,13960
2018-02-06,12580,13230,12300,12890,19734,12890
2018-02-07,13990,13990,12750,12750,14037,12750
2018-02-08,13110,13290,13040,13280,2441,13280
2018-02-09,12900,13000,12300,13000,10045,13000
2018-02-13,13160,13250,12690,12740,3031,12740
2018-02-14,12690,12700,12120,12480,9212,12480
2018-02-15,12480,12740,12360,12620,3393,12620
2018-02-16,12680,12850,12660,12790,4317,12790
2018-02-19,12950,13220,12890,13220,6913,13220
2018-02-20,13170,13360,13060,13360,6306,13360
2018-02-21,13330,13390,13220,13320,4573,13320
2018-02-22,13290,13320,13110,13150,5189,13150
2018-02-23,13310,13390,13120,13290,4986,13290
2018-02-26,13410,13560,13360,13490,8708,13490
2018-02-27,13580,13640,13470,13490,11917,13490
2018-02-28,13450,13680,13400,13570,20438,13570
2018-03-01,13570,13570,13400,13410,4011,13410
2018-03-02,13110,13300,13030,13200,7220,13200
2018-03-05,13140,13150,12520,12560,8306,12560
2018-03-06,12980,13030,12880,12910,1658,12910
2018-03-07,12960,13070,12820,12930,2826,12930
2018-03-08,13060,13130,13050,13120,1258,13120
2018-03-09,13320,13400,13110,13120,2197,13120
2018-03-12,13350,13400,13050,13150,2800,13150
2018-03-13,13200,13570,13200,13570,8279,13570
2018-03-14,13500,13580,13410,13510,8407,13510
2018-03-15,13550,13650,13430,13600,7015,13600
2018-03-16,13670,13670,13440,13450,3267,13450
2018-03-19,13410,13480,12990,13110,2176,13110
2018-03-20,12900,13110,12900,13100,3085,13100
2018-03-22,12980,13130,12960,13030,7111,13030
2018-03-23,12510,12800,12100,12740,12813,12740
2018-03-26,12500,12670,12230,12670,10814,12670
2018-03-27,12840,12950,12690,12780,8209,12780
2018-03-28,12660,12890,12660,12840,6474,12840
2018-03-29,12890,13050,12840,12870,7243,12870
2018-03-30,13110,13250,13030,13240,42543,13240
2018-04-02,13290,13380,13180,13180,3717,13180
2018-04-03,13000,13100,12930,13050,3374,13050
2018-04-04,13240,13240,12850,12870,1052,12870
2018-04-05,13000,13060,12930,13000,1030,13000
2018-04-06,13080,13080,12820,12820,12171,12820
2018-04-09,12740,12930,12740,12880,1087,12880
