Date,Open,High,Low,Close,Volume,Adj Close
2018-01-09,1010,1010,1010,1010,10,1010
2018-01-24,975,975,975,975,30,975
2018-01-29,890,964,890,964,110,964
2018-01-30,889,889,859,860,240,860
2018-01-31,964,964,964,964,100,964
2018-02-07,964,964,964,964,100,964
2018-02-13,865,865,865,865,10,865
2018-03-05,900,900,900,900,10,900
2018-03-13,900,900,900,900,60,900
2018-05-14,1006,1006,1006,1006,10,1006
2018-08-13,1108,1108,1099,1099,50,1099
2018-10-01,829,829,829,829,10,829
2018-10-02,1009,1009,1009,1009,30,1009
2018-10-03,1050,1050,1050,1050,30,1050
2018-10-09,950,950,950,950,30,950
2018-10-23,1137,1137,1137,1137,40,1137
2018-10-24,1134,1134,1134,1134,120,1134
2018-10-25,1131,1131,1131,1131,110,1131
2018-10-26,822,822,822,822,60,822
2018-10-31,1118,1118,1118,1118,50,1118
2018-11-06,847,847,847,847,10,847
2018-11-07,1114,1124,880,880,340,880
2018-11-13,880,970,880,970,20,970
2018-11-14,1116,1116,1116,1116,600,1116
2018-11-15,823,836,823,826,620,826
2018-11-16,829,830,829,830,30,830
2018-11-20,838,838,838,838,10,838
2018-11-21,844,844,844,844,10,844
2018-11-22,844,844,844,844,10,844
2018-11-26,844,844,822,837,100,837
2018-11-28,852,852,852,852,30,852
2018-11-29,852,852,852,852,40,852
2018-11-30,828,830,828,829,30,829
2018-12-03,848,848,848,848,110,848
2018-12-04,844,844,835,835,100,835
2018-12-05,880,880,880,880,100,880
2018-12-06,816,831,816,831,210,831
2018-12-07,836,836,836,836,10,836
2018-12-10,822,822,822,822,120,822
2018-12-27,843,843,825,825,40,825
2018-12-28,825,825,825,825,10,825
2019-01-04,810,810,810,810,160,810
2019-01-09,754,754,754,754,20,754
2019-01-31,807,807,806,806,40,806
2019-02-06,768,768,768,768,100,768
2019-02-27,785,785,785,785,10,785
2019-03-07,840,840,840,840,100,840
2019-03-12,835,835,835,835,60,835
2019-03-13,835,835,835,835,40,835
2019-03-14,838,842,838,842,60,842
2019-03-15,831,842,831,842,200,842
2019-03-25,830,830,830,830,50,830
2019-04-02,880,880,880,880,20,880
2019-04-08,880,880,880,880,220,880
2019-04-09,903,903,903,903,20,903
2019-04-12,900,900,900,900,40,900
2019-04-15,905,905,905,905,60,905
2019-04-16,913,913,913,913,200,913
2019-04-17,913,913,913,913,150,913
2019-04-24,913,913,913,913,110,913
2019-07-08,901,901,901,901,500,901
2019-08-06,768,986,768,986,340,986
2019-10-07,817,817,817,817,10,817
2019-10-10,817,817,817,817,10,817
2019-10-11,817,817,817,817,20,817
2019-11-29,819,819,819,819,100,819
2019-12-16,820,820,820,820,500,820
2019-12-23,800,830,800,830,120,830
2019-12-27,858,860,858,860,70,860
2020-01-10,818,818,818,818,10,818
2020-01-15,870,1064,870,1064,240,1064
2020-01-20,823,853,823,853,260,853
2020-01-21,853,853,853,853,10,853
2020-01-22,852,852,852,852,10,852
2020-01-23,831,831,831,831,20,831
2020-01-24,845,845,835,835,160,835
2020-02-03,835,835,835,835,120,835
2020-03-11,835,835,835,835,10,835
2020-03-17,785,785,720,720,170,720
2020-03-19,590,590,590,590,100,590
2020-04-02,592,592,592,592,50,592
2020-04-14,864,864,864,864,140,864
2020-04-17,650,650,630,650,170,650
2020-04-20,652,654,652,654,30,654
2020-04-22,650,650,649,649,160,649
