,Open,High,Low,Close,Volume
2018-01-04,1031.0,1031.0,1030.0,1030.0,700.0
2018-01-05,1030.0,1030.0,1030.0,1030.0,400.0
2018-01-09,1030.0,1030.0,1029.0,1029.0,400.0
2018-01-10,1029.0,1030.0,1022.0,1029.0,1100.0
2018-01-11,1020.0,1030.0,1020.0,1029.0,1400.0
2018-01-12,1030.0,1038.0,1030.0,1036.0,2700.0
2018-01-15,1037.0,1037.0,1037.0,1037.0,300.0
2018-01-16,1037.0,1037.0,1036.0,1036.0,900.0
2018-01-17,1037.0,1054.0,1037.0,1054.0,2400.0
2018-01-18,1054.0,1054.0,1050.0,1053.0,1400.0
2018-01-19,1045.0,1055.0,1037.0,1037.0,2100.0
2018-01-22,1036.0,1038.0,1030.0,1030.0,3800.0
2018-01-23,1030.0,1038.0,1030.0,1031.0,2500.0
2018-01-24,1031.0,1050.0,1031.0,1033.0,3600.0
2018-01-25,1033.0,1035.0,1032.0,1032.0,2400.0
2018-01-26,1032.0,1034.0,1032.0,1034.0,600.0
2018-01-30,1039.0,1039.0,1031.0,1031.0,1800.0
2018-01-31,1032.0,1032.0,1032.0,1032.0,100.0
2018-02-01,1037.0,1050.0,1006.0,1020.0,3500.0
2018-02-02,1027.0,1038.0,1020.0,1038.0,4600.0
2018-02-05,1013.0,1013.0,1013.0,1013.0,1500.0
2018-02-06,1015.0,1015.0,990.0,990.0,6100.0
2018-02-07,990.0,1005.0,988.0,1005.0,1300.0
2018-02-08,1026.0,1026.0,1024.0,1024.0,800.0
2018-02-09,1014.0,1015.0,1014.0,1014.0,1200.0
2018-02-13,1030.0,1030.0,1021.0,1021.0,200.0
2018-02-14,1030.0,1030.0,1030.0,1030.0,1000.0
2018-02-20,1030.0,1030.0,1030.0,1030.0,100.0
2018-02-21,1030.0,1030.0,1020.0,1020.0,1300.0
2018-02-22,1024.0,1024.0,1011.0,1020.0,1900.0
2018-02-23,1026.0,1026.0,1017.0,1018.0,300.0
2018-02-26,1018.0,1018.0,1018.0,1018.0,100.0
2018-03-02,1008.0,1008.0,1008.0,1008.0,700.0
2018-03-05,1004.0,1006.0,1004.0,1006.0,700.0
2018-03-06,1003.0,1003.0,1003.0,1003.0,400.0
2018-03-07,1007.0,1007.0,1007.0,1007.0,200.0
2018-03-08,1009.0,1009.0,1009.0,1009.0,100.0
2018-03-09,1005.0,1005.0,1005.0,1005.0,300.0
2018-03-12,1031.0,1031.0,1005.0,1006.0,600.0
2018-03-13,1011.0,1011.0,1011.0,1011.0,200.0
2018-03-14,1005.0,1005.0,1005.0,1005.0,200.0
2018-03-15,1015.0,1015.0,1005.0,1005.0,200.0
2018-03-16,1005.0,1005.0,1004.0,1004.0,400.0
2018-03-19,1026.0,1026.0,1006.0,1021.0,1900.0
2018-03-20,993.0,997.0,993.0,996.0,1800.0
2018-03-22,995.0,995.0,995.0,995.0,200.0
2018-03-23,1010.0,1010.0,987.0,987.0,4700.0
2018-03-26,985.0,985.0,985.0,985.0,200.0
2018-03-27,981.0,981.0,981.0,981.0,100.0
2018-03-30,990.0,990.0,990.0,990.0,500.0
2018-04-02,981.0,981.0,981.0,981.0,100.0
2018-04-03,982.0,982.0,982.0,982.0,100.0
2018-04-05,982.0,982.0,980.0,980.0,700.0
2018-04-09,970.0,970.0,968.0,969.0,1600.0
2018-04-10,970.0,970.0,970.0,970.0,100.0
2018-04-11,970.0,970.0,970.0,970.0,200.0
2018-04-12,970.0,970.0,970.0,970.0,300.0
2018-04-17,992.0,992.0,992.0,992.0,100.0
2018-04-18,993.0,996.0,993.0,996.0,900.0
2018-04-19,983.0,983.0,983.0,983.0,100.0
2018-04-20,984.0,984.0,980.0,980.0,300.0
2018-04-23,980.0,980.0,980.0,980.0,800.0
2018-04-24,975.0,975.0,968.0,968.0,600.0
2018-04-25,968.0,968.0,968.0,968.0,400.0
2018-04-26,979.0,979.0,960.0,964.0,1800.0
2018-04-27,971.0,971.0,963.0,963.0,400.0
2018-05-01,964.0,964.0,964.0,964.0,900.0
2018-05-02,963.0,963.0,963.0,963.0,100.0
2018-05-07,963.0,963.0,963.0,963.0,700.0
2018-05-08,960.0,961.0,957.0,957.0,500.0
2018-05-10,971.0,971.0,971.0,971.0,100.0
2018-05-14,959.0,971.0,959.0,971.0,900.0
2018-05-15,960.0,961.0,960.0,961.0,400.0
2018-05-16,963.0,963.0,961.0,961.0,500.0
2018-05-17,960.0,960.0,960.0,960.0,1500.0
2018-05-22,958.0,958.0,958.0,958.0,100.0
2018-05-24,958.0,958.0,957.0,957.0,500.0
2018-05-25,972.0,972.0,969.0,969.0,200.0
2018-05-28,954.0,954.0,951.0,951.0,200.0
2018-05-29,951.0,951.0,951.0,951.0,100.0
2018-05-30,951.0,951.0,951.0,951.0,500.0
2018-05-31,952.0,952.0,950.0,950.0,1100.0
2018-06-04,959.0,959.0,953.0,953.0,200.0
2018-06-05,954.0,960.0,954.0,954.0,1400.0
2018-06-06,953.0,958.0,948.0,958.0,2100.0
2018-06-07,946.0,957.0,946.0,955.0,300.0
2018-06-08,960.0,960.0,955.0,955.0,700.0
2018-06-11,968.0,969.0,967.0,967.0,1100.0
2018-06-12,976.0,976.0,961.0,961.0,400.0
2018-06-13,962.0,962.0,956.0,956.0,700.0
2018-06-14,955.0,955.0,948.0,948.0,400.0
2018-06-15,948.0,952.0,948.0,952.0,500.0
2018-06-19,937.0,937.0,937.0,937.0,2900.0
2018-06-20,931.0,931.0,931.0,931.0,100.0
2018-06-21,935.0,935.0,935.0,935.0,200.0
2018-06-25,933.0,933.0,923.0,923.0,2000.0
2018-06-26,920.0,932.0,890.0,932.0,900.0
2018-06-27,902.0,917.0,902.0,902.0,300.0
2018-06-28,917.0,917.0,903.0,903.0,300.0
2018-06-29,902.0,906.0,902.0,906.0,200.0
2018-07-02,904.0,904.0,889.0,889.0,600.0
2018-07-03,889.0,889.0,880.0,880.0,600.0
2018-07-04,880.0,881.0,880.0,880.0,700.0
2018-07-05,882.0,882.0,881.0,881.0,500.0
2018-07-09,875.0,875.0,875.0,875.0,200.0
2018-07-10,882.0,882.0,882.0,882.0,100.0
2018-07-11,873.0,873.0,869.0,869.0,400.0
2018-07-12,870.0,870.0,869.0,869.0,1600.0
2018-07-13,860.0,860.0,860.0,860.0,100.0
2018-07-17,870.0,870.0,870.0,870.0,300.0
2018-07-18,863.0,863.0,863.0,863.0,200.0
2018-07-20,880.0,882.0,880.0,882.0,1800.0
2018-07-23,872.0,872.0,872.0,872.0,1300.0
2018-07-24,872.0,872.0,866.0,866.0,1000.0
2018-07-25,895.0,895.0,892.0,892.0,300.0
2018-07-26,877.0,877.0,877.0,877.0,100.0
2018-07-30,870.0,870.0,870.0,870.0,2800.0
2018-07-31,863.0,863.0,863.0,863.0,200.0
2018-08-01,863.0,870.0,863.0,870.0,400.0
2018-08-02,893.0,893.0,864.0,864.0,400.0
2018-08-03,879.0,879.0,860.0,860.0,1700.0
2018-08-06,869.0,869.0,851.0,851.0,500.0
2018-08-07,851.0,851.0,851.0,851.0,200.0
2018-08-08,852.0,852.0,851.0,852.0,900.0
2018-08-09,862.0,862.0,862.0,862.0,100.0
2018-08-10,862.0,862.0,862.0,862.0,200.0
2018-08-13,855.0,855.0,840.0,840.0,2000.0
2018-08-14,840.0,840.0,840.0,840.0,100.0
2018-08-15,840.0,840.0,839.0,839.0,300.0
2018-08-17,839.0,840.0,839.0,840.0,1300.0
2018-08-21,815.0,815.0,815.0,815.0,1100.0
2018-08-22,840.0,840.0,840.0,840.0,100.0
2018-08-23,825.0,825.0,825.0,825.0,100.0
2018-08-24,825.0,825.0,820.0,820.0,200.0
2018-08-28,850.0,850.0,835.0,835.0,200.0
2018-08-31,836.0,836.0,836.0,836.0,100.0
2018-09-03,824.0,824.0,813.0,813.0,2800.0
2018-09-04,815.0,815.0,815.0,815.0,200.0
2018-09-05,829.0,830.0,829.0,830.0,300.0
2018-09-07,821.0,821.0,821.0,821.0,100.0
2018-09-10,832.0,840.0,832.0,839.0,400.0
2018-09-13,824.0,824.0,813.0,813.0,700.0
2018-09-14,812.0,815.0,812.0,815.0,700.0
2018-09-18,828.0,828.0,817.0,817.0,300.0
2018-09-20,817.0,817.0,817.0,817.0,100.0
2018-09-21,832.0,832.0,832.0,832.0,100.0
2018-09-25,839.0,839.0,832.0,832.0,200.0
2018-09-26,830.0,830.0,830.0,830.0,100.0
2018-09-28,833.0,833.0,832.0,832.0,500.0
2018-10-01,833.0,833.0,833.0,833.0,100.0
2018-10-02,835.0,887.0,824.0,887.0,1400.0
2018-10-03,842.0,855.0,840.0,847.0,1700.0
2018-10-04,845.0,845.0,845.0,845.0,300.0
2018-10-05,845.0,845.0,845.0,845.0,400.0
2018-10-09,845.0,858.0,845.0,858.0,200.0
2018-10-10,856.0,856.0,845.0,856.0,500.0
2018-10-11,840.0,840.0,824.0,824.0,300.0
2018-10-12,825.0,839.0,825.0,839.0,1900.0
2018-10-16,826.0,826.0,822.0,822.0,600.0
2018-10-18,826.0,826.0,826.0,826.0,400.0
2018-10-19,826.0,830.0,826.0,830.0,300.0
2018-10-22,818.0,818.0,818.0,818.0,100.0
2018-10-24,825.0,825.0,825.0,825.0,200.0
2018-10-25,830.0,830.0,817.0,817.0,400.0
2018-10-26,818.0,831.0,818.0,818.0,300.0
2018-10-29,816.0,816.0,815.0,815.0,600.0
2018-10-30,816.0,816.0,815.0,815.0,600.0
2018-10-31,814.0,814.0,814.0,814.0,100.0
2018-11-01,830.0,830.0,830.0,830.0,300.0
2018-11-02,815.0,835.0,815.0,825.0,2000.0
2018-11-05,820.0,820.0,820.0,820.0,300.0
2018-11-06,816.0,816.0,816.0,816.0,200.0
2018-11-07,816.0,816.0,816.0,816.0,200.0
2018-11-08,827.0,864.0,820.0,864.0,2800.0
2018-11-09,877.0,887.0,857.0,857.0,1900.0
2018-11-12,870.0,870.0,855.0,869.0,1000.0
2018-11-13,878.0,900.0,878.0,888.0,5500.0
2018-11-14,903.0,943.0,850.0,943.0,6500.0
2018-11-15,942.0,955.0,942.0,955.0,7500.0
2018-11-16,955.0,1016.0,955.0,1016.0,11000.0
2018-11-19,1016.0,1016.0,909.0,936.0,12700.0
2018-11-20,921.0,981.0,920.0,951.0,1500.0
2018-11-21,921.0,936.0,921.0,921.0,1100.0
2018-11-22,969.0,969.0,917.0,917.0,700.0
2018-11-26,902.0,903.0,863.0,900.0,5200.0
2018-11-27,885.0,894.0,863.0,894.0,1600.0
2018-11-29,869.0,888.0,869.0,888.0,500.0
2018-11-30,890.0,890.0,875.0,889.0,600.0
2018-12-03,889.0,889.0,889.0,889.0,100.0
2018-12-04,868.0,890.0,868.0,890.0,900.0
2018-12-05,852.0,909.0,834.0,909.0,6100.0
2018-12-06,864.0,864.0,851.0,851.0,1500.0
