,Open,High,Low,Close,Volume
2018-01-04,445.0,447.0,442.0,445.0,6100.0
2018-01-05,453.0,453.0,443.0,449.0,3300.0
2018-01-09,453.0,470.0,453.0,468.0,11600.0
2018-01-10,461.0,462.0,457.0,457.0,10900.0
2018-01-11,454.0,462.0,454.0,462.0,2700.0
2018-01-12,470.0,470.0,463.0,463.0,6400.0
2018-01-15,465.0,469.0,465.0,469.0,4100.0
2018-01-16,469.0,469.0,467.0,467.0,700.0
2018-01-17,467.0,472.0,454.0,457.0,24100.0
2018-01-18,465.0,468.0,458.0,458.0,13600.0
2018-01-19,461.0,500.0,448.0,500.0,65700.0
2018-01-22,500.0,554.0,492.0,545.0,111100.0
2018-01-23,554.0,588.0,506.0,506.0,76400.0
2018-01-24,515.0,518.0,498.0,504.0,25400.0
2018-01-25,505.0,505.0,491.0,497.0,19000.0
2018-01-26,498.0,513.0,498.0,512.0,13300.0
2018-01-29,514.0,521.0,510.0,521.0,5100.0
2018-01-30,521.0,534.0,510.0,515.0,12100.0
2018-01-31,511.0,511.0,500.0,501.0,3700.0
2018-02-01,509.0,509.0,501.0,501.0,3300.0
2018-02-02,506.0,512.0,495.0,498.0,11700.0
2018-02-05,495.0,495.0,473.0,486.0,8700.0
2018-02-06,477.0,484.0,446.0,455.0,24500.0
2018-02-07,468.0,470.0,456.0,457.0,6000.0
2018-02-08,457.0,467.0,456.0,456.0,5500.0
2018-02-09,445.0,453.0,445.0,449.0,4400.0
2018-02-13,464.0,468.0,458.0,465.0,3300.0
2018-02-14,461.0,469.0,460.0,467.0,5400.0
2018-02-15,467.0,476.0,467.0,473.0,3200.0
2018-02-16,479.0,482.0,479.0,482.0,3600.0
2018-02-19,486.0,501.0,486.0,500.0,16400.0
2018-02-20,500.0,500.0,498.0,498.0,2200.0
2018-02-21,501.0,501.0,495.0,495.0,3100.0
2018-02-22,502.0,502.0,497.0,497.0,1200.0
2018-02-23,497.0,498.0,494.0,494.0,3400.0
2018-02-26,499.0,504.0,484.0,499.0,5300.0
2018-02-27,499.0,500.0,499.0,500.0,300.0
2018-02-28,501.0,501.0,498.0,501.0,1600.0
2018-03-01,499.0,499.0,485.0,485.0,5900.0
2018-03-02,474.0,488.0,469.0,488.0,7800.0
2018-03-05,489.0,489.0,480.0,486.0,1000.0
2018-03-06,488.0,490.0,478.0,484.0,3700.0
2018-03-07,485.0,485.0,485.0,485.0,700.0
2018-03-08,480.0,489.0,479.0,486.0,4000.0
2018-03-09,487.0,487.0,471.0,486.0,3700.0
2018-03-12,487.0,487.0,486.0,487.0,500.0
2018-03-13,488.0,492.0,488.0,489.0,1100.0
2018-03-14,491.0,495.0,490.0,490.0,500.0
2018-03-15,495.0,495.0,490.0,494.0,1800.0
2018-03-16,500.0,506.0,500.0,500.0,8800.0
2018-03-19,500.0,502.0,500.0,502.0,5600.0
2018-03-20,501.0,501.0,497.0,501.0,4300.0
2018-03-22,500.0,500.0,494.0,496.0,2300.0
2018-03-23,493.0,493.0,473.0,492.0,3900.0
2018-03-26,485.0,485.0,475.0,481.0,1600.0
2018-03-27,485.0,489.0,484.0,488.0,1200.0
2018-03-28,479.0,482.0,477.0,482.0,1100.0
2018-03-29,483.0,487.0,483.0,487.0,400.0
2018-03-30,489.0,497.0,489.0,497.0,2800.0
2018-04-02,502.0,505.0,501.0,501.0,1600.0
2018-04-03,501.0,501.0,500.0,500.0,1500.0
2018-04-04,501.0,502.0,499.0,502.0,1500.0
2018-04-05,502.0,502.0,494.0,498.0,2000.0
2018-04-06,497.0,500.0,497.0,497.0,1000.0
2018-04-09,491.0,495.0,491.0,495.0,1100.0
2018-04-10,496.0,497.0,493.0,496.0,1100.0
2018-04-11,496.0,497.0,494.0,497.0,1600.0
2018-04-12,497.0,510.0,495.0,495.0,9600.0
2018-04-13,497.0,504.0,497.0,503.0,1900.0
2018-04-16,504.0,504.0,503.0,503.0,800.0
2018-04-17,503.0,508.0,501.0,503.0,4000.0
2018-04-18,503.0,503.0,503.0,503.0,200.0
2018-04-19,504.0,505.0,502.0,503.0,7000.0
2018-04-20,502.0,509.0,502.0,509.0,6300.0
2018-04-23,510.0,518.0,507.0,511.0,6600.0
2018-04-24,518.0,518.0,512.0,512.0,2800.0
2018-04-25,512.0,513.0,510.0,513.0,3100.0
2018-04-26,517.0,517.0,510.0,516.0,2100.0
2018-04-27,516.0,516.0,511.0,516.0,1800.0
2018-05-01,513.0,516.0,512.0,516.0,2800.0
2018-05-02,517.0,517.0,517.0,517.0,900.0
2018-05-07,516.0,516.0,511.0,516.0,1600.0
2018-05-08,518.0,518.0,517.0,517.0,2300.0
2018-05-09,519.0,520.0,511.0,518.0,2000.0
2018-05-10,510.0,515.0,510.0,515.0,2900.0
2018-05-11,515.0,539.0,515.0,539.0,17300.0
2018-05-14,538.0,589.0,533.0,566.0,36200.0
2018-05-15,560.0,600.0,558.0,586.0,43200.0
2018-05-16,584.0,589.0,576.0,582.0,22900.0
2018-05-17,580.0,589.0,575.0,582.0,13800.0
2018-05-18,587.0,587.0,580.0,583.0,5600.0
2018-05-21,582.0,595.0,578.0,594.0,17400.0
2018-05-22,593.0,593.0,580.0,580.0,8800.0
2018-05-23,582.0,610.0,571.0,610.0,33200.0
2018-05-24,614.0,617.0,590.0,594.0,23900.0
2018-05-25,583.0,583.0,530.0,567.0,39100.0
2018-05-28,567.0,567.0,544.0,552.0,10000.0
2018-05-29,550.0,550.0,530.0,530.0,11000.0
2018-05-30,545.0,545.0,506.0,506.0,24800.0
2018-05-31,509.0,522.0,509.0,522.0,6300.0
2018-06-01,514.0,529.0,514.0,523.0,2000.0
2018-06-04,526.0,527.0,524.0,524.0,2800.0
2018-06-05,524.0,529.0,519.0,524.0,1300.0
2018-06-06,519.0,524.0,518.0,519.0,2300.0
2018-06-07,515.0,525.0,515.0,523.0,2200.0
2018-06-08,522.0,526.0,522.0,526.0,1300.0
2018-06-11,524.0,524.0,516.0,516.0,4800.0
2018-06-12,517.0,521.0,517.0,519.0,900.0
2018-06-13,523.0,525.0,521.0,521.0,3300.0
2018-06-14,522.0,524.0,520.0,522.0,2900.0
2018-06-15,522.0,523.0,522.0,522.0,1500.0
2018-06-18,522.0,522.0,517.0,517.0,1300.0
2018-06-19,517.0,517.0,506.0,506.0,7400.0
2018-06-20,521.0,521.0,514.0,517.0,1900.0
2018-06-21,521.0,522.0,512.0,522.0,3100.0
2018-06-22,521.0,522.0,521.0,522.0,500.0
2018-06-25,520.0,520.0,491.0,520.0,3600.0
2018-06-26,511.0,511.0,500.0,500.0,1300.0
2018-06-27,504.0,505.0,504.0,505.0,700.0
2018-06-28,506.0,506.0,506.0,506.0,300.0
2018-07-02,507.0,508.0,507.0,507.0,1000.0
2018-07-03,504.0,504.0,495.0,500.0,2300.0
2018-07-04,500.0,500.0,489.0,489.0,2700.0
2018-07-05,490.0,493.0,489.0,489.0,4700.0
2018-07-06,489.0,494.0,487.0,487.0,2000.0
2018-07-09,489.0,490.0,489.0,490.0,500.0
2018-07-10,490.0,491.0,489.0,491.0,900.0
2018-07-11,487.0,491.0,487.0,491.0,1100.0
2018-07-12,490.0,491.0,484.0,491.0,1700.0
2018-07-13,485.0,491.0,485.0,491.0,1400.0
2018-07-17,491.0,500.0,490.0,496.0,4900.0
2018-07-18,488.0,508.0,488.0,508.0,2600.0
2018-07-19,504.0,514.0,504.0,514.0,1600.0
2018-07-20,511.0,514.0,511.0,513.0,3500.0
2018-07-23,515.0,517.0,513.0,517.0,3100.0
2018-07-24,520.0,520.0,516.0,520.0,3100.0
2018-07-25,519.0,519.0,519.0,519.0,2400.0
2018-07-26,518.0,518.0,516.0,516.0,300.0
2018-07-27,516.0,516.0,504.0,506.0,2300.0
2018-07-30,506.0,506.0,504.0,505.0,2200.0
2018-07-31,496.0,504.0,496.0,502.0,1400.0
2018-08-01,502.0,502.0,500.0,500.0,400.0
2018-08-02,500.0,501.0,500.0,500.0,2500.0
2018-08-06,500.0,500.0,498.0,498.0,200.0
2018-08-07,496.0,501.0,496.0,500.0,2800.0
2018-08-08,499.0,499.0,495.0,496.0,2400.0
2018-08-09,496.0,497.0,496.0,497.0,1500.0
2018-08-13,487.0,495.0,479.0,495.0,4300.0
2018-08-14,487.0,496.0,487.0,491.0,900.0
2018-08-15,491.0,491.0,491.0,491.0,300.0
2018-08-16,492.0,498.0,492.0,498.0,1000.0
2018-08-17,498.0,498.0,494.0,494.0,400.0
2018-08-20,497.0,497.0,493.0,493.0,700.0
2018-08-21,499.0,499.0,493.0,497.0,2200.0
2018-08-22,500.0,500.0,498.0,500.0,1300.0
2018-08-23,490.0,500.0,490.0,500.0,400.0
2018-08-24,493.0,494.0,493.0,493.0,2100.0
2018-08-27,493.0,494.0,493.0,494.0,3500.0
2018-08-28,495.0,503.0,495.0,500.0,400.0
2018-08-29,500.0,500.0,495.0,495.0,300.0
2018-08-30,500.0,500.0,493.0,494.0,400.0
2018-08-31,495.0,495.0,493.0,495.0,500.0
2018-09-03,500.0,500.0,493.0,493.0,2000.0
2018-09-04,495.0,495.0,495.0,495.0,100.0
2018-09-05,494.0,494.0,494.0,494.0,100.0
2018-09-06,493.0,498.0,489.0,495.0,1800.0
2018-09-07,490.0,490.0,479.0,480.0,4700.0
2018-09-10,480.0,480.0,480.0,480.0,100.0
2018-09-11,480.0,487.0,480.0,487.0,400.0
2018-09-13,485.0,487.0,485.0,487.0,4200.0
2018-09-14,483.0,490.0,483.0,483.0,1400.0
2018-09-18,483.0,485.0,483.0,484.0,900.0
2018-09-19,483.0,489.0,483.0,485.0,1800.0
2018-09-20,488.0,489.0,484.0,484.0,1100.0
2018-09-21,490.0,490.0,485.0,485.0,900.0
