,Open,High,Low,Close,Volume
2018-01-04,359500.0,359500.0,355500.0,359000.0,2295.0
2018-01-05,359500.0,361500.0,358000.0,361500.0,1322.0
2018-01-09,361500.0,367000.0,361500.0,367000.0,1504.0
2018-01-10,365500.0,366000.0,362000.0,366000.0,2455.0
2018-01-11,366000.0,367500.0,364500.0,367500.0,2042.0
2018-01-12,370000.0,372500.0,367500.0,372000.0,1853.0
2018-01-15,372000.0,378500.0,371500.0,376500.0,2163.0
2018-01-16,378500.0,380500.0,376000.0,379500.0,2776.0
2018-01-17,378000.0,383000.0,376500.0,382500.0,2593.0
2018-01-18,383500.0,389500.0,378500.0,383000.0,3759.0
2018-01-19,384000.0,384000.0,379000.0,381000.0,2041.0
2018-01-22,380000.0,382500.0,379000.0,382000.0,1746.0
2018-01-23,383000.0,387000.0,380500.0,386000.0,2109.0
2018-01-24,385500.0,391500.0,384500.0,390500.0,2233.0
2018-01-25,390500.0,392500.0,382000.0,387500.0,2505.0
2018-01-26,385500.0,388500.0,384000.0,384500.0,1539.0
2018-01-29,384500.0,385500.0,380500.0,384000.0,1800.0
2018-01-30,384000.0,384000.0,380000.0,382500.0,1649.0
2018-01-31,383000.0,386000.0,380000.0,386000.0,2196.0
2018-02-01,383500.0,384500.0,378000.0,382500.0,2100.0
2018-02-02,381500.0,382500.0,378500.0,379000.0,1478.0
2018-02-05,374000.0,377000.0,369500.0,376500.0,2188.0
2018-02-06,367000.0,369000.0,358500.0,363000.0,3092.0
2018-02-07,366000.0,373500.0,358500.0,360000.0,3628.0
2018-02-08,364500.0,371000.0,364000.0,368000.0,3140.0
2018-02-09,361000.0,363500.0,359500.0,362000.0,2458.0
2018-02-13,366000.0,367500.0,356500.0,356500.0,2781.0
2018-02-14,357500.0,362000.0,354000.0,354500.0,2854.0
2018-02-15,352000.0,358500.0,352000.0,356500.0,1637.0
2018-02-16,358000.0,362000.0,352000.0,353000.0,2301.0
2018-02-19,352500.0,355500.0,351500.0,355000.0,1843.0
2018-02-20,355000.0,360000.0,354000.0,358000.0,2044.0
2018-02-21,358500.0,360000.0,354000.0,356500.0,2593.0
2018-02-22,356500.0,364500.0,356000.0,361500.0,3736.0
2018-02-23,365000.0,374500.0,363500.0,372500.0,2728.0
2018-02-26,373000.0,380000.0,373000.0,376000.0,2452.0
2018-02-27,378500.0,380500.0,370500.0,372000.0,2211.0
2018-02-28,370500.0,372000.0,366000.0,368000.0,3338.0
2018-03-01,368000.0,372000.0,363000.0,365500.0,2814.0
2018-03-02,365000.0,370000.0,363500.0,368500.0,2370.0
2018-03-05,366000.0,367500.0,363000.0,366000.0,1826.0
2018-03-06,368500.0,373500.0,366500.0,370000.0,1939.0
2018-03-07,372000.0,376000.0,369000.0,373000.0,2278.0
2018-03-08,373500.0,376500.0,373500.0,374500.0,1623.0
2018-03-09,378000.0,378000.0,371000.0,371000.0,2161.0
2018-03-12,371000.0,372500.0,367000.0,367000.0,2086.0
2018-03-13,367000.0,371000.0,366500.0,366500.0,1788.0
2018-03-14,366500.0,369500.0,365500.0,368000.0,1609.0
2018-03-15,366500.0,374000.0,366000.0,373000.0,2015.0
2018-03-16,375000.0,377000.0,373000.0,375000.0,2370.0
2018-03-19,376500.0,377500.0,374000.0,374000.0,1431.0
2018-03-20,371500.0,379500.0,371500.0,379000.0,1757.0
2018-03-22,377000.0,384000.0,377000.0,380500.0,2311.0
2018-03-23,378000.0,383000.0,377000.0,382000.0,3130.0
2018-03-26,378000.0,379000.0,375500.0,376500.0,1953.0
2018-03-27,380000.0,384500.0,378000.0,381500.0,2346.0
2018-03-28,381500.0,383000.0,377500.0,379500.0,1594.0
2018-03-29,380000.0,385500.0,378500.0,385000.0,2218.0
2018-03-30,385000.0,387000.0,378500.0,379000.0,1541.0
2018-04-02,378000.0,385500.0,378000.0,383500.0,1150.0
2018-04-03,381000.0,385000.0,380500.0,383000.0,1180.0
2018-04-04,382000.0,388500.0,382000.0,383000.0,1390.0
2018-04-05,383000.0,385000.0,381000.0,382000.0,1304.0
2018-04-06,380500.0,381000.0,375500.0,376500.0,1517.0
2018-04-09,376000.0,383500.0,374000.0,381500.0,2060.0
2018-04-10,383500.0,387500.0,381500.0,386500.0,2249.0
2018-04-11,386500.0,387500.0,384500.0,385500.0,1640.0
2018-04-12,387000.0,389500.0,385500.0,389000.0,1839.0
2018-04-13,387500.0,393000.0,387500.0,388500.0,2123.0
2018-04-16,387000.0,389000.0,384000.0,384500.0,2653.0
2018-04-17,384000.0,386000.0,378500.0,378500.0,2195.0
2018-04-18,379500.0,380500.0,377000.0,379000.0,2845.0
2018-04-19,379000.0,379500.0,376000.0,377500.0,2080.0
2018-04-20,378500.0,382500.0,378000.0,382000.0,757.0
2018-04-23,382000.0,388000.0,381500.0,387500.0,1473.0
2018-04-24,387000.0,392000.0,386500.0,392000.0,2405.0
2018-04-25,392500.0,395000.0,390500.0,395000.0,1278.0
2018-04-26,395000.0,397500.0,394000.0,395000.0,1489.0
2018-04-27,395000.0,401500.0,394000.0,397000.0,2882.0
2018-05-01,396000.0,402500.0,395500.0,400500.0,2017.0
2018-05-02,400000.0,402500.0,398000.0,398500.0,1772.0
2018-05-07,399500.0,405000.0,398500.0,402500.0,2372.0
2018-05-08,404500.0,410000.0,402500.0,410000.0,3236.0
2018-05-09,412000.0,413500.0,402000.0,402000.0,2566.0
2018-05-10,402500.0,406500.0,400000.0,404000.0,2001.0
2018-05-11,407000.0,410000.0,406500.0,406500.0,1920.0
2018-05-14,403500.0,408500.0,403000.0,405000.0,1273.0
2018-05-15,405000.0,406500.0,401500.0,401500.0,1897.0
2018-05-16,402000.0,404000.0,399500.0,399500.0,1699.0
2018-05-17,400500.0,408000.0,399500.0,407500.0,2244.0
2018-05-18,408500.0,409000.0,406000.0,408500.0,1486.0
2018-05-21,406000.0,407000.0,403500.0,404500.0,2287.0
2018-05-22,404500.0,408000.0,403500.0,407500.0,2281.0
2018-05-23,407500.0,408000.0,405500.0,407500.0,1682.0
2018-05-24,405500.0,408500.0,405000.0,407000.0,1595.0
2018-05-25,407500.0,408500.0,405500.0,407000.0,952.0
2018-05-28,407000.0,408000.0,405500.0,405500.0,1362.0
2018-05-29,405500.0,409000.0,405500.0,406500.0,1865.0
2018-05-30,406000.0,407000.0,403500.0,405000.0,1785.0
2018-05-31,403000.0,405500.0,395500.0,395500.0,6753.0
2018-06-01,399500.0,407500.0,398000.0,401500.0,2670.0
2018-06-04,401000.0,404000.0,399500.0,401000.0,2282.0
2018-06-05,400000.0,404000.0,399500.0,402000.0,1520.0
2018-06-06,399500.0,403500.0,399500.0,400000.0,1189.0
2018-06-07,400500.0,406000.0,400500.0,405000.0,1960.0
2018-06-08,405000.0,409000.0,404000.0,405500.0,2427.0
2018-06-11,406500.0,410500.0,405000.0,408000.0,1263.0
2018-06-12,412500.0,416000.0,410000.0,411000.0,2762.0
2018-06-13,412500.0,414000.0,408000.0,408000.0,1327.0
2018-06-14,408000.0,410000.0,406500.0,406500.0,1419.0
2018-06-15,409000.0,409000.0,404000.0,404000.0,4865.0
2018-06-18,406500.0,408500.0,403500.0,405000.0,1754.0
2018-06-19,405000.0,405500.0,403500.0,403500.0,1324.0
2018-06-20,405500.0,405500.0,402000.0,402000.0,1677.0
2018-06-21,402000.0,407000.0,402000.0,406500.0,1528.0
2018-06-22,406500.0,411000.0,405000.0,408500.0,1582.0
2018-06-25,406000.0,409500.0,401000.0,404000.0,2113.0
2018-06-26,404000.0,417000.0,404000.0,416500.0,5770.0
2018-06-27,406500.0,411500.0,404500.0,405500.0,2700.0
2018-06-28,406500.0,406500.0,401000.0,401500.0,2394.0
2018-06-29,403000.0,408500.0,401000.0,402500.0,2373.0
2018-07-02,403000.0,409500.0,400500.0,400500.0,2113.0
2018-07-03,401500.0,406000.0,401000.0,405500.0,1342.0
2018-07-04,405500.0,407500.0,403000.0,406000.0,1484.0
2018-07-05,406500.0,408000.0,403000.0,405500.0,1255.0
2018-07-06,407000.0,407500.0,404500.0,405500.0,1545.0
2018-07-09,407500.0,409500.0,406000.0,407500.0,1326.0
2018-07-10,409000.0,409000.0,404500.0,405000.0,1526.0
2018-07-11,405500.0,407000.0,402500.0,404500.0,1335.0
2018-07-12,405000.0,408500.0,405000.0,406500.0,1280.0
2018-07-13,408000.0,408000.0,405000.0,406000.0,1364.0
